Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges,simulatedLoadingTime_sec
loaderType,skeleton-color,spinner,True,True,0.10900387645379642,9.0,two-sided,0.9155910771733308,1.0,holm,0.31,0.04817102423066377,2.5
loaderType,skeleton-color,spinner-color,True,True,-0.014853866131223666,9.0,two-sided,0.9884728338030097,1.0,holm,0.309,-0.00562518446155917,2.5
loaderType,spinner,spinner-color,True,True,-0.13262753003895175,9.0,two-sided,0.8974058815778718,1.0,holm,0.311,-0.0567211488015304,2.5
loaderType,bar,bar-color,True,True,1.2696511440688587,9.0,two-sided,0.23605395799979673,1.0,holm,0.585,0.4940051596912297,5.0
loaderType,bar,none,True,True,0.21866633603344698,9.0,two-sided,0.8317880456145316,1.0,holm,0.315,0.1220406209604851,5.0
loaderType,bar,skeleton,True,True,2.63471452641361,9.0,two-sided,0.027147999552004202,0.5701079905920883,holm,2.816,1.151652114959039,5.0
loaderType,bar,skeleton-color,True,True,0.6396772862521134,9.0,two-sided,0.5383225537053435,1.0,holm,0.367,0.26289573816529604,5.0
loaderType,bar,spinner,True,True,1.8591675368166918,9.0,two-sided,0.09594051709871654,1.0,holm,1.087,0.8803144490366537,5.0
loaderType,bar,spinner-color,True,True,1.121363834103731,9.0,two-sided,0.2911600623021827,1.0,holm,0.513,0.5433041019053515,5.0
loaderType,bar-color,none,True,True,-0.6691235664204853,9.0,two-sided,0.5202098583580395,1.0,holm,0.373,-0.3339954414066263,5.0
loaderType,bar-color,skeleton,True,True,0.659089977623805,9.0,two-sided,0.5263399943341036,1.0,holm,0.371,0.2689456510359685,5.0
loaderType,bar-color,skeleton-color,True,True,-0.6252159269154771,9.0,two-sided,0.5473524721561613,1.0,holm,0.364,-0.3301771837026288,5.0
loaderType,bar-color,spinner,True,True,0.43333262298249675,9.0,two-sided,0.6749734580157196,1.0,holm,0.335,0.2102775582149009,5.0
loaderType,bar-color,spinner-color,True,True,-0.07370566684126313,9.0,two-sided,0.942856739382879,1.0,holm,0.31,-0.03805807157949389,5.0
loaderType,none,skeleton,True,True,1.84780314612677,9.0,two-sided,0.09769182968399524,1.0,holm,1.073,0.7441433911412162,5.0
loaderType,none,skeleton-color,True,True,0.17422080644050003,9.0,two-sided,0.8655478913517544,1.0,holm,0.313,0.07898547814690823,5.0
loaderType,none,spinner,True,True,2.065029524998247,9.0,two-sided,0.0689166221160449,1.0,holm,1.386,0.6139770568978015,5.0
loaderType,none,spinner-color,True,True,0.7990062025924032,9.0,two-sided,0.44486027276283957,1.0,holm,0.403,0.34196670508571214,5.0
loaderType,skeleton,skeleton-color,True,True,-2.175925185570748,9.0,two-sided,0.057555314591806274,1.0,holm,1.585,-1.0445116325327637,5.0
loaderType,skeleton,spinner,True,True,-0.11313503311569555,9.0,two-sided,0.9124068965727535,1.0,holm,0.311,-0.03839869043489843,5.0
loaderType,skeleton,spinner-color,True,True,-0.8783131044903002,9.0,two-sided,0.4026128181712897,1.0,holm,0.425,-0.4015498122576071,5.0
loaderType,skeleton-color,spinner,True,True,1.8873627136303792,9.0,two-sided,0.09172179232099131,1.0,holm,1.124,0.7260817501539728,5.0
loaderType,skeleton-color,spinner-color,True,True,1.1432386516188398,9.0,two-sided,0.2824373499125812,1.0,holm,0.523,0.3557631389194108,5.0
loaderType,spinner,spinner-color,True,True,-0.7588029027483235,9.0,two-sided,0.46737663694790144,1.0,holm,0.393,-0.2974256257718339,5.0
