Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges,simulatedLoadingTime_sec
loaderType,bar,none,True,True,2.007920267846731,9.0,two-sided,0.07558121404345053,1.0,holm,1.294,1.030995702316801,5.0
loaderType,bar,skeleton,True,True,0.3445051616444658,9.0,two-sided,0.7383796330842092,1.0,holm,0.325,0.1647073310957436,5.0
loaderType,bar,skeleton-color,True,True,1.3238555493565813,9.0,two-sided,0.21818838836371784,1.0,holm,0.616,0.5774131802852163,5.0
loaderType,bar,spinner,True,True,0.40649537808979425,9.0,two-sided,0.6938749355185108,1.0,holm,0.331,0.19372606267317447,5.0
loaderType,bar,spinner-color,True,True,0.5484569470372155,9.0,two-sided,0.5967183806614844,1.0,holm,0.351,0.2558818690481041,5.0
loaderType,bar-color,none,True,True,2.5112589112002794,9.0,two-sided,0.033242018978060034,0.6648403795612007,holm,2.408,1.280392170975696,5.0
loaderType,bar-color,skeleton,True,True,0.801821107375703,9.0,two-sided,0.4433113037450145,1.0,holm,0.404,0.3968254850509321,5.0
loaderType,bar-color,skeleton-color,True,True,1.9569990726036426,9.0,two-sided,0.0820391061727361,1.0,holm,1.219,0.8652324325328316,5.0
loaderType,bar-color,spinner,True,True,0.8785490742076096,9.0,two-sided,0.40249144238456436,1.0,holm,0.425,0.45182066341684307,5.0
loaderType,bar-color,spinner-color,True,True,0.980583342717238,9.0,two-sided,0.3524207923448316,1.0,holm,0.458,0.4928438717492569,5.0
loaderType,none,skeleton,True,True,-2.2482001733236867,9.0,two-sided,0.05115345615648882,0.969777719179644,holm,1.733,-0.9466940530641526,5.0
loaderType,none,skeleton-color,True,True,-2.1483161992140962,9.0,two-sided,0.06020134964826577,1.0,holm,1.533,-0.6735751642998121,5.0
loaderType,none,spinner,True,True,-3.291806579909895,9.0,two-sided,0.009351347855629188,0.19637830496821296,holm,6.541,-1.0266292109240176,5.0
loaderType,none,spinner-color,True,True,-2.249548082011792,9.0,two-sided,0.05104093258840231,0.969777719179644,holm,1.735,-0.8584947088623494,5.0
loaderType,skeleton,skeleton-color,True,True,1.542725913530659,9.0,two-sided,0.15729071126068775,1.0,holm,0.767,0.4395274338084687,5.0
loaderType,skeleton,spinner,True,True,0.039120420593705296,9.0,two-sided,0.9696484240272465,1.0,holm,0.309,0.015105130200012418,5.0
loaderType,skeleton,spinner-color,True,True,0.5185080413071534,9.0,two-sided,0.6166098297476654,1.0,holm,0.346,0.09890543244927294,5.0
loaderType,skeleton-color,spinner,True,True,-1.2697102968861997,9.0,two-sided,0.23603381684673486,1.0,holm,0.585,-0.4942042719013185,5.0
loaderType,skeleton-color,spinner-color,True,True,-1.177054036832067,9.0,two-sided,0.26936392971667006,1.0,holm,0.538,-0.3276046288542737,5.0
loaderType,spinner,spinner-color,True,True,0.35951148104444297,9.0,two-sided,0.7275033911721962,1.0,holm,0.326,0.09525156672822105,5.0
