participant_id,executionOrder,originalTrialNumber,loaderType,simulatedLoadingTime,simulatedLoadingTime_sec,rageClicks,mouseDistance,taskDuration,taskDuration_sec,totalLoadingTime,pureTaskDuration,perceivedLoadingTime,discomfort,reliability,perceivedLoadingTime_z,discomfort_z,reliability_z,rageClicks_z,mouseDistance_z,taskDuration_sec_z
participant_10,1.0,9.0,none,5000,5.0,0,4550.235752621312,22854.89999985695,22.854899999856947,10000.0,12854.899999856949,84.0,2.0,3.0,0.9078463506507087,-1.185621207446499,0.0517226003649949,0.0,-0.6316432333995553,0.8341866325590968
participant_10,2.0,19.0,spinner-color,1000,1.0,0,4576.154044430844,17204.599999904633,17.204599999904634,2000.0,15204.599999904633,38.0,2.0,4.0,-1.1221989612210153,-1.185621207446499,1.1378972080298917,0.0,-0.6167689120808865,-0.15795095484273577
participant_10,3.0,16.0,skeleton-color,2500,2.5,0,6366.807507233563,19615.29999995232,19.61529999995232,5000.0,14615.299999952316,79.0,4.0,3.0,0.6871892515342171,0.729613050736307,0.0517226003649949,0.0,0.4108742355404066,0.2653444599170283
participant_10,4.0,7.0,spinner,1000,1.0,0,4960.750483151509,12604.5,12.6045,2000.0,10604.5,20.0,2.0,4.0,-1.9165645180403854,-1.185621207446499,1.1378972080298917,0.0,-0.39605178112231687,-0.9656836620885584
participant_10,5.0,5.0,none,2500,2.5,0,7567.1570189326385,20465.59999990464,20.46559999990464,5000.0,15465.599999904633,80.0,4.0,2.0,0.7313206713575154,0.729613050736307,-1.034452007299902,0.0,1.0997461898700875,0.41464884915788147
participant_10,6.0,1.0,bar-color,5000,5.0,0,4950.060665294346,22285.900000095367,22.285900000095367,10000.0,12285.900000095367,92.0,5.0,2.0,1.2608977092370957,1.68723017982771,-1.034452007299902,0.0,-0.4021865907314519,0.7342757805689615
participant_10,7.0,14.0,skeleton-color,1000,1.0,0,10304.749780367552,18671.39999985695,18.67139999985695,3000.0,15671.399999856949,49.0,3.0,3.0,-0.6367533431647334,-0.22800407835509598,0.0517226003649949,0.0,2.6708309925448233,0.09960482328691744
participant_10,8.0,13.0,spinner-color,2500,2.5,0,6539.5124301134265,19574.10000014305,19.57410000014305,7500.0,12074.100000143051,81.0,4.0,3.0,0.7754520911808137,0.729613050736307,0.0517226003649949,0.0,0.5099883490440693,0.25811014166630375
participant_10,9.0,21.0,skeleton,2500,2.5,0,5789.544583313108,19566.79999995232,19.56679999995232,7500.0,12066.799999952316,76.0,4.0,3.0,0.554794992064322,0.729613050736307,0.0517226003649949,0.0,0.07958719398509469,0.25682833281060996
participant_10,10.0,8.0,bar-color,1000,1.0,0,7153.829446050096,23079.29999995232,23.07929999995232,4000.0,19079.29999995232,38.0,2.0,4.0,-1.1221989612210153,-1.185621207446499,1.1378972080298917,0.0,0.8625404675909901,0.873589084589869
