executionOrder,originalTrialNumber,action,rageClicks,mouseDistance,optimalMouseDistance,taskDuration,totalLoadingTime,pureTaskDuration,loaderType,simulatedLoadingTime,taskSuccess,timestamp,perceivedTime,discomfort,reliability
1,7,Task Completed,0,4847.551075712788,0,13451.200000047684,2000,11451.200000047684,spinner,1000,true,2026-06-15T04:33:32.865Z,27,1,5
2,16,Task Completed,0,4998.080759417048,0,16802,5000,11802,skeleton-color,2500,true,2026-06-15T04:34:00.527Z,45,2,2
3,21,Task Completed,0,5320.107989663996,0,14464.799999952316,5000,9464.799999952316,skeleton,2500,true,2026-06-15T04:34:34.412Z,43,2,4
4,6,Task Completed,0,4412.340066336416,0,21201.10000014305,10000,11201.100000143051,skeleton-color,5000,true,2026-06-15T04:35:06.037Z,71,4,2
5,11,Task Completed,0,8359.339363471172,0,35312,6000,29312,bar,1000,true,2026-06-15T04:35:51.340Z,22,1,5
6,5,Task Completed,0,4902.759111353471,0,14151.5,5000,9151.5,none,2500,true,2026-06-15T04:36:12.740Z,25,4,3
7,17,Task Completed,0,4273.975660351917,0,11395.099999904633,2000,9395.099999904633,skeleton,1000,true,2026-06-15T04:36:35.479Z,19,1,5
8,13,Task Completed,0,4039.844115179265,0,13969.5,5000,8969.5,spinner-color,2500,true,2026-06-15T04:36:56.846Z,61,2,4
9,12,Task Completed,0,4393.740293000188,0,28034.700000047684,15000,13034.700000047684,skeleton,5000,true,2026-06-15T04:37:34.951Z,75,4,3
10,2,Task Completed,0,5571.246158614543,0,21815.599999904633,10000,11815.599999904633,bar,5000,true,2026-06-15T04:38:06.972Z,85,5,2
11,14,Task Completed,0,4676.139973012395,0,11783.199999809265,2000,9783.199999809265,skeleton-color,1000,true,2026-06-15T04:38:27.291Z,16,2,2
12,1,Task Completed,0,8114.075521616851,0,22608.900000095367,10000,12608.900000095367,bar-color,5000,true,2026-06-15T04:38:58.045Z,89,5,2
13,15,Task Completed,0,4527.427812544478,0,21183.700000047684,10000,11183.700000047684,spinner,5000,true,2026-06-15T04:39:32.475Z,74,4,2
14,19,Task Completed,0,7001.029065657787,0,13069.5,2000,11069.5,spinner-color,1000,true,2026-06-15T04:39:54.026Z,24,2,4
15,4,Task Completed,0,5145.20224740075,0,18429.599999904633,7500,10929.599999904633,spinner,2500,true,2026-06-15T04:40:21.010Z,55,3,4
16,10,Task Completed,0,5811.968626515018,0,14297,5000,9297,bar,2500,true,2026-06-15T04:40:54.013Z,57,2,3
17,18,Task Completed,0,5321.287675042457,0,20727.60000014305,10000,10727.600000143051,spinner-color,5000,true,2026-06-15T04:41:30.675Z,66,4,2
18,9,Task Completed,0,7750.900920293692,0,43351.09999990463,20000,23351.099999904633,none,5000,true,2026-06-15T04:42:23.187Z,95,5,1
19,20,Task Completed,0,3954.340183409775,0,17006,5000,12006,bar-color,2500,true,2026-06-15T04:42:49.651Z,74,4,3
20,3,Task Completed,0,5547.582322266887,0,14046.900000095367,2000,12046.900000095367,none,1000,true,2026-06-15T04:43:17.459Z,29,2,4
21,8,Task Completed,0,4563.045961813973,0,12328.200000047684,2000,10328.200000047684,bar-color,1000,true,2026-06-15T04:43:37.963Z,4,1,4
