executionOrder,originalTrialNumber,action,rageClicks,mouseDistance,optimalMouseDistance,taskDuration,totalLoadingTime,pureTaskDuration,loaderType,simulatedLoadingTime,taskSuccess,timestamp,perceivedTime,discomfort,reliability
1,2,Task Completed,0,6848.475037875387,0,22046.400000095367,10000,12046.400000095367,bar,5000,true,2026-06-15T07:53:36.431Z,56,2,4
2,19,Task Completed,0,5062.331452816853,0,14229.599999904633,2000,12229.599999904633,spinner-color,1000,true,2026-06-15T07:54:07.597Z,16,1,4
3,4,Task Completed,0,6967.075843589873,0,17751.799999952316,5000,12751.799999952316,spinner,2500,true,2026-06-15T07:54:38.295Z,38,3,4
4,14,Task Completed,0,6516.651835229366,0,15335.099999904633,3000,12335.099999904633,skeleton-color,1000,true,2026-06-15T07:55:14.039Z,16,2,4
5,13,Task Completed,0,4575.096532375154,0,17839.200000047684,5000,12839.200000047684,spinner-color,2500,true,2026-06-15T07:55:43.334Z,38,3,4
6,7,Task Completed,0,4363.6460692370065,0,12679.300000190735,2000,10679.300000190735,spinner,1000,true,2026-06-15T07:56:11.558Z,13,2,4
7,20,Task Completed,0,5987.189819732702,0,18687.5,5000,13687.5,bar-color,2500,true,2026-06-15T07:56:43.263Z,12,1,5
8,16,Task Completed,0,6266.223604640352,0,20343.199999809265,5000,15343.199999809265,skeleton-color,2500,true,2026-06-15T07:57:13.878Z,33,3,3
9,1,Task Completed,0,6578.604267530633,0,27894.299999952316,10000,17894.299999952316,bar-color,5000,true,2026-06-15T07:57:57.463Z,52,3,4
10,3,Task Completed,0,4853.1330255655475,0,16127.200000047684,2000,14127.200000047684,none,1000,true,2026-06-15T07:58:33.894Z,3,1,4
11,11,Task Completed,0,7282.960101800923,0,17263.39999985695,2000,15263.399999856949,bar,1000,true,2026-06-15T07:59:03.750Z,3,1,5
12,5,Task Completed,0,6152.528114176716,0,21023.299999952316,5000,16023.299999952316,none,2500,true,2026-06-15T07:59:33.102Z,55,4,2
13,21,Task Completed,0,4570.580450840529,0,16911.299999952316,5000,11911.299999952316,skeleton,2500,true,2026-06-15T08:00:03.470Z,50,4,3
14,9,Task Completed,0,9387.024723928682,0,31871.60000014305,20000,11871.600000143051,none,5000,true,2026-06-15T08:00:51.846Z,75,5,1
15,6,Task Completed,0,5856.097666027038,0,26031.400000095367,10000,16031.400000095367,skeleton-color,5000,true,2026-06-15T08:01:27.662Z,77,4,2
16,8,Task Completed,0,3850.1436676181024,0,10046.600000143051,2000,8046.600000143051,bar-color,1000,true,2026-06-15T08:01:45.517Z,31,2,4
17,10,Task Completed,0,6365.223352909712,0,19791.799999952316,5000,14791.799999952316,bar,2500,true,2026-06-15T08:02:18.581Z,53,2,3
18,12,Task Completed,0,3570.006998395538,0,20088.39999985695,10000,10088.399999856949,skeleton,5000,true,2026-06-15T08:02:49.309Z,56,4,3
19,15,Task Completed,0,7674.387591819853,0,28679.099999904633,15000,13679.099999904633,spinner,5000,true,2026-06-15T08:03:33.821Z,71,4,2
20,17,Task Completed,0,8315.411761982297,0,18033.299999952316,2000,16033.299999952316,skeleton,1000,true,2026-06-15T08:03:59.607Z,20,2,4
21,18,Task Completed,0,4860.070618805018,0,20695.799999952316,10000,10695.799999952316,spinner-color,5000,true,2026-06-15T08:04:27.453Z,77,4,2
