executionOrder,originalTrialNumber,action,rageClicks,mouseDistance,optimalMouseDistance,taskDuration,totalLoadingTime,pureTaskDuration,loaderType,simulatedLoadingTime,taskSuccess,timestamp,perceivedTime,discomfort,reliability
1,10,Task Completed,0,7475.35924376509,0,15659.299999952316,5000,10659.299999952316,bar,2500,true,2026-06-09T04:48:59.919Z,52,3,3
2,16,Task Completed,0,7589.966895304718,0,15319.399999976158,5000,10319.399999976158,skeleton-color,2500,true,2026-06-09T04:49:33.042Z,48,3,2
3,2,Task Completed,0,5382.715491714868,0,18176.700000047684,10000,8176.700000047684,bar,5000,true,2026-06-09T04:50:11.861Z,66,4,3
4,8,Task Completed,0,7580.946241825402,0,24077.900000095367,4000,20077.900000095367,bar-color,1000,true,2026-06-09T04:50:51.145Z,40,2,4
5,18,Task Completed,0,4806.73678498145,0,19176.200000047684,10000,9176.200000047684,spinner-color,5000,true,2026-06-09T04:51:21.017Z,56,3,3
6,5,Task Completed,0,3327.280895989491,0,16231.200000047684,5000,11231.200000047684,none,2500,true,2026-06-09T04:51:50.369Z,63,4,2
7,15,Task Completed,0,4557.528467548664,0,17919.200000047684,10000,7919.200000047684,spinner,5000,true,2026-06-09T04:52:17.833Z,54,3,3
8,21,Task Completed,0,3652.942811046773,0,16479.600000023842,5000,11479.600000023842,skeleton,2500,true,2026-06-09T04:52:41.273Z,45,2,4
9,1,Task Completed,0,4532.758548709132,0,21166.600000023842,10000,11166.600000023842,bar-color,5000,true,2026-06-09T04:53:24.097Z,43,2,4
10,11,Task Completed,0,4138.112177542821,0,12054.699999928474,2000,10054.699999928474,bar,1000,true,2026-06-09T04:53:43.993Z,33,2,4
11,17,Task Completed,0,8588.06700179756,0,16031.100000023842,3000,13031.100000023842,skeleton,1000,true,2026-06-09T04:54:07.297Z,26,2,5
12,4,Task Completed,0,3746.9298044885422,0,14680.600000023842,5000,9680.600000023842,spinner,2500,true,2026-06-09T04:54:29.082Z,39,2,4
13,9,Task Completed,0,11065.30079514257,0,33863.10000002384,10000,23863.100000023842,none,5000,true,2026-06-09T04:55:10.561Z,58,4,1
14,14,Task Completed,0,5436.238109803133,0,12904.700000047684,2000,10904.700000047684,skeleton-color,1000,true,2026-06-09T04:55:34.488Z,50,3,2
15,20,Task Completed,0,5976.369411042952,0,16254.200000047684,7500,8754.200000047684,bar-color,2500,true,2026-06-09T04:56:08.825Z,40,3,3
16,3,Task Completed,0,5205.087795984821,0,15303.200000047684,2000,13303.200000047684,none,1000,true,2026-06-09T04:56:36.297Z,52,3,3
17,19,Task Completed,0,5688.688667464734,0,12367,2000,10367,spinner-color,1000,true,2026-06-09T04:57:15.128Z,36,2,4
18,12,Task Completed,0,4038.675612083169,0,19408.599999904633,15000,4408.599999904633,skeleton,5000,true,2026-06-09T04:57:41.193Z,54,3,3
19,7,Task Completed,0,3881.440084190012,0,11037.699999928474,2000,9037.699999928474,spinner,1000,true,2026-06-09T04:57:59.767Z,35,2,4
20,6,Task Completed,0,5295.980277609599,0,17680.100000023842,10000,7680.100000023842,skeleton-color,5000,true,2026-06-09T04:58:26.424Z,65,4,2
21,13,Task Completed,0,3881.011562323691,0,13967.399999976158,5000,8967.399999976158,spinner-color,2500,true,2026-06-09T04:58:52.232Z,41,2,4
