executionOrder,originalTrialNumber,action,rageClicks,mouseDistance,optimalMouseDistance,taskDuration,totalLoadingTime,pureTaskDuration,loaderType,simulatedLoadingTime,taskSuccess,timestamp,perceivedTime,discomfort,reliability
1,7,Task Completed,0,4953.661044278346,0,14342.299999952316,2000,12342.299999952316,spinner,1000,true,2026-06-15T08:12:46.778Z,15,2,3
2,6,Task Completed,0,6786.6298692948685,0,20462.700000047684,10000,10462.700000047684,skeleton-color,5000,true,2026-06-15T08:13:24.964Z,100,3,2
3,21,Task Completed,0,7203.371063823166,0,17951.5,5000,12951.5,skeleton,2500,true,2026-06-15T08:13:59.963Z,56,3,3
4,3,Task Completed,0,5649.784078124878,0,12807.599999904633,2000,10807.599999904633,none,1000,true,2026-06-15T08:14:31.307Z,6,2,4
5,20,Task Completed,0,4116.825494054608,0,15608.899999856949,5000,10608.899999856949,bar-color,2500,true,2026-06-15T08:14:59.715Z,61,3,4
6,11,Task Completed,0,6639.157948314091,0,11615.700000047684,2000,9615.700000047684,bar,1000,true,2026-06-15T08:15:20.891Z,0,1,5
7,13,Task Completed,0,10904.697801701943,0,22542.700000047684,7500,15042.700000047684,spinner-color,2500,true,2026-06-15T08:15:50.498Z,71,4,3
8,1,Task Completed,0,5435.068030943559,0,21272.200000047684,10000,11272.200000047684,bar-color,5000,true,2026-06-15T08:16:18.979Z,77,4,4
9,2,Task Completed,0,7572.462741224443,0,20391.89999985695,10000,10391.899999856949,bar,5000,true,2026-06-15T08:16:53.315Z,86,5,3
10,17,Task Completed,0,5899.371380354265,0,11614.799999952316,2000,9614.799999952316,skeleton,1000,true,2026-06-15T08:17:18.122Z,4,2,4
11,16,Task Completed,0,7434.090150472517,0,16832.89999985695,5000,11832.899999856949,skeleton-color,2500,true,2026-06-15T08:17:43.082Z,46,3,3
12,18,Task Completed,0,4722.480430569697,0,19070.60000014305,10000,9070.600000143051,spinner-color,5000,true,2026-06-15T08:18:15.034Z,100,5,1
13,15,Task Completed,0,5884.994537083698,0,16830.799999952316,10000,6830.799999952316,spinner,5000,true,2026-06-15T08:18:36.938Z,100,5,1
14,5,Task Completed,0,5387.433076337362,0,15351.5,5000,10351.5,none,2500,true,2026-06-15T08:18:57.474Z,34,2,2
15,14,Task Completed,0,5178.419885027486,0,10784.300000190735,2000,8784.300000190735,skeleton-color,1000,true,2026-06-15T08:19:18.803Z,19,2,3
16,12,Task Completed,0,5812.673909991502,0,17558.199999809265,10000,7558.199999809265,skeleton,5000,true,2026-06-15T08:19:46.369Z,89,5,1
17,9,Task Completed,0,14525.048277089783,0,32430.900000095367,15000,17430.900000095367,none,5000,true,2026-06-15T08:20:26.386Z,100,3,1
18,8,Task Completed,0,4593.205320018512,0,10495,2000,8495,bar-color,1000,true,2026-06-15T08:20:48.466Z,14,1,3
19,4,Task Completed,0,5019.626997865026,0,15551.300000190735,7500,8051.300000190735,spinner,2500,true,2026-06-15T08:21:11.754Z,52,2,2
20,19,Task Completed,0,4430.394907800676,0,9670.700000047684,2000,7670.700000047684,spinner-color,1000,true,2026-06-15T08:21:33.145Z,14,2,4
21,10,Task Completed,0,5226.363699944709,0,13423.599999904633,5000,8423.599999904633,bar,2500,true,2026-06-15T08:21:55.066Z,36,4,2
