executionOrder,originalTrialNumber,action,rageClicks,mouseDistance,optimalMouseDistance,taskDuration,totalLoadingTime,pureTaskDuration,loaderType,simulatedLoadingTime,taskSuccess,timestamp,perceivedTime,discomfort,reliability
1,9,Task Completed,0,4550.235752621312,0,22854.89999985695,10000,12854.899999856949,none,5000,true,2026-06-15T04:13:31.392Z,84,2,3
2,19,Task Completed,0,4576.154044430844,0,17204.599999904633,2000,15204.599999904633,spinner-color,1000,true,2026-06-15T04:14:06.184Z,38,2,4
3,16,Task Completed,0,6366.807507233563,0,19615.299999952316,5000,14615.299999952316,skeleton-color,2500,true,2026-06-15T04:14:40.480Z,79,4,3
4,7,Task Completed,0,4960.750483151509,0,12604.5,2000,10604.5,spinner,1000,true,2026-06-15T04:15:09.840Z,20,2,4
5,5,Task Completed,0,7567.1570189326385,0,20465.599999904633,5000,15465.599999904633,none,2500,true,2026-06-15T04:15:41.785Z,80,4,2
6,1,Task Completed,0,4950.060665294346,0,22285.900000095367,10000,12285.900000095367,bar-color,5000,true,2026-06-15T04:16:14.618Z,92,5,2
7,14,Task Completed,0,10304.749780367552,0,18671.39999985695,3000,15671.399999856949,skeleton-color,1000,true,2026-06-15T04:16:41.952Z,49,3,3
8,13,Task Completed,0,6539.5124301134265,0,19574.10000014305,7500,12074.100000143051,spinner-color,2500,true,2026-06-15T04:17:22.678Z,81,4,3
9,21,Task Completed,0,5789.544583313108,0,19566.799999952316,7500,12066.799999952316,skeleton,2500,true,2026-06-15T04:17:55.183Z,76,4,3
10,8,Task Completed,0,7153.829446050096,0,23079.299999952316,4000,19079.299999952316,bar-color,1000,true,2026-06-15T04:18:32.759Z,38,2,4
11,2,Task Completed,0,7334.527813684201,0,27414.5,15000,12414.5,bar,5000,true,2026-06-15T04:19:08.622Z,94,5,1
12,3,Task Completed,0,5533.951197576796,0,22555.699999809265,3000,19555.699999809265,none,1000,true,2026-06-15T04:19:37.779Z,46,3,2
13,12,Task Completed,0,7533.5464663622915,0,30047.099999904633,15000,15047.099999904633,skeleton,5000,true,2026-06-15T04:20:26.807Z,90,4,2
14,15,Task Completed,0,6124.35081239377,0,25646.900000095367,15000,10646.900000095367,spinner,5000,true,2026-06-15T04:21:00.975Z,85,4,3
15,20,Task Completed,0,6569.818903800411,0,22855.299999952316,7500,15355.299999952316,bar-color,2500,true,2026-06-15T04:21:35.495Z,54,3,4
16,6,Task Completed,0,7208.151221386428,0,29240.099999904633,15000,14240.099999904633,skeleton-color,5000,true,2026-06-15T04:22:42.167Z,82,4,2
17,10,Task Completed,0,6625.207386757126,0,19207.299999952316,7500,11707.299999952316,bar,2500,true,2026-06-15T04:23:08.070Z,48,2,4
18,18,Task Completed,0,5832.273097567709,0,20200,10000,10200,spinner-color,5000,true,2026-06-15T04:23:35.838Z,67,4,2
19,4,Task Completed,0,5699.40791531097,0,13984.200000047684,5000,8984.200000047684,spinner,2500,true,2026-06-15T04:23:55.319Z,57,3,3
20,17,Task Completed,0,7008.426006817968,0,12407.100000143051,3000,9407.100000143051,skeleton,1000,true,2026-06-15T04:24:17.358Z,39,2,4
21,11,Task Completed,0,4620.2818049819,0,10735.899999856949,2000,8735.899999856949,bar,1000,true,2026-06-15T04:24:33.878Z,33,2,4
