executionOrder,originalTrialNumber,action,rageClicks,mouseDistance,optimalMouseDistance,taskDuration,totalLoadingTime,pureTaskDuration,loaderType,simulatedLoadingTime,taskSuccess,timestamp,perceivedTime,discomfort,reliability
1,12,Task Completed,0,5050.8210451603645,0,24346.200000047684,10000,14346.200000047684,skeleton,5000,true,2026-06-23T05:17:58.106Z,59,2,3
2,1,Task Completed,0,5029.906336707866,0,23237.200000047684,10000,13237.200000047684,bar-color,5000,true,2026-06-23T05:18:36.200Z,62,3,4
3,13,Task Completed,0,4162.579988863219,0,16479.200000047684,5000,11479.200000047684,spinner-color,2500,true,2026-06-23T05:19:11.920Z,52,3,3
4,14,Task Completed,0,5308.149428643285,0,18985.5,3000,15985.5,skeleton-color,1000,true,2026-06-23T05:19:43.849Z,56,3,3
5,9,Task Completed,0,3934.066606218693,0,24264.599999904633,15000,9264.599999904633,none,5000,true,2026-06-23T05:20:21.970Z,81,4,2
6,10,Task Completed,0,5496.600429028734,0,21063.599999904633,7500,13563.599999904633,bar,2500,true,2026-06-23T05:20:53.914Z,48,2,4
7,4,Task Completed,0,4361.867444035592,0,21289,7500,13789,spinner,2500,true,2026-06-23T05:21:27.409Z,56,3,3
8,2,Task Completed,0,5504.846246759724,0,23185.39999985695,10000,13185.399999856949,bar,5000,true,2026-06-23T05:22:00.185Z,55,3,4
9,6,Task Completed,0,4298.792897331369,0,23189.700000047684,10000,13189.700000047684,skeleton-color,5000,true,2026-06-23T05:22:38.864Z,60,3,3
10,20,Task Completed,0,4361.030245295209,0,19815.60000014305,7500,12315.600000143051,bar-color,2500,true,2026-06-23T05:23:13.488Z,57,3,3
11,18,Task Completed,0,3449.181135396275,0,18373.599999904633,10000,8373.599999904633,spinner-color,5000,true,2026-06-23T05:23:44.408Z,57,3,3
12,3,Task Completed,0,4033.86811587168,0,14992.799999952316,3000,11992.799999952316,none,1000,true,2026-06-23T05:24:19.824Z,40,2,3
13,8,Task Completed,0,4590.266627116173,0,16577.599999904633,2000,14577.599999904633,bar-color,1000,true,2026-06-23T05:24:53.377Z,31,2,4
14,21,Task Completed,0,4297.211221801913,0,16861.900000095367,5000,11861.900000095367,skeleton,2500,true,2026-06-23T05:25:24.839Z,42,3,4
15,19,Task Completed,0,3727.9435909387375,0,12366.400000095367,2000,10366.400000095367,spinner-color,1000,true,2026-06-23T05:25:53.807Z,35,2,4
16,17,Task Completed,0,3397.7229173520805,0,12143,2000,10143,skeleton,1000,true,2026-06-23T05:26:15.416Z,37,2,4
17,16,Task Completed,0,3996.8756532442253,0,13461.700000047684,5000,8461.700000047684,skeleton-color,2500,true,2026-06-23T05:26:44.423Z,50,3,3
18,15,Task Completed,0,4159.3588672860305,0,21934.299999952316,10000,11934.299999952316,spinner,5000,true,2026-06-23T05:27:16.270Z,59,3,3
19,5,Task Completed,0,3728.2246524507345,0,17424.099999904633,5000,12424.099999904633,none,2500,true,2026-06-23T05:27:52.567Z,71,4,2
20,11,Task Completed,0,5475.213476356552,0,13622.200000047684,2000,11622.200000047684,bar,1000,true,2026-06-23T05:28:16.223Z,32,1,4
21,7,Task Completed,0,5449.841537213902,0,22409.200000047684,3000,19409.200000047684,spinner,1000,true,2026-06-23T05:29:27.904Z,36,3,3
