executionOrder,originalTrialNumber,action,rageClicks,mouseDistance,optimalMouseDistance,taskDuration,totalLoadingTime,pureTaskDuration,loaderType,simulatedLoadingTime,taskSuccess,timestamp,perceivedTime,discomfort,reliability
1,18,Task Completed,0,7059.841933163838,0,26849.099999904633,15000,11849.099999904633,spinner-color,5000,true,2026-06-15T07:26:41.919Z,66,4,3
2,17,Task Completed,0,3981.897121602912,0,9471.399999856949,2000,7471.399999856949,skeleton,1000,true,2026-06-15T07:27:01.941Z,29,2,3
3,4,Task Completed,0,6253.713756210418,0,16287.200000047684,5000,11287.200000047684,spinner,2500,true,2026-06-15T07:27:26.301Z,50,2,3
4,10,Task Completed,0,4109.594374576529,0,13415.599999904633,5000,8415.599999904633,bar,2500,true,2026-06-15T07:27:51.837Z,48,2,3
5,12,Task Completed,0,7256.620967506022,0,20813,10000,10813,skeleton,5000,true,2026-06-15T07:28:26.283Z,59,3,3
6,3,Task Completed,0,4298.962045697605,0,10559.399999856949,2000,8559.399999856949,none,1000,true,2026-06-15T07:28:56.069Z,16,1,3
7,13,Task Completed,0,5362.247437081259,0,15679.100000143051,5000,10679.100000143051,spinner-color,2500,true,2026-06-15T07:29:25.764Z,46,2,3
8,1,Task Completed,0,8912.349598038692,0,20015.5,10000,10015.5,bar-color,5000,true,2026-06-15T07:29:56.844Z,67,4,3
9,14,Task Completed,0,4008.1863976356262,0,9289.100000143051,2000,7289.100000143051,skeleton-color,1000,true,2026-06-15T07:30:25.294Z,9,1,3
10,7,Task Completed,0,5969.785567186462,0,12279.200000047684,2000,10279.200000047684,spinner,1000,true,2026-06-15T07:30:52.164Z,20,2,3
11,6,Task Completed,0,4324.436850331789,0,19695.400000095367,10000,9695.400000095367,skeleton-color,5000,true,2026-06-15T07:31:26.476Z,71,4,3
12,19,Task Completed,0,4108.245675954067,0,11199.5,2000,9199.5,spinner-color,1000,true,2026-06-15T07:31:56.236Z,23,2,3
13,8,Task Completed,0,4708.118703970206,0,13077.699999809265,3000,10077.699999809265,bar-color,1000,true,2026-06-15T07:32:19.738Z,33,2,3
14,21,Task Completed,0,6469.013795688844,0,20143.299999952316,10000,10143.299999952316,skeleton,2500,true,2026-06-15T07:32:51.748Z,50,3,3
15,16,Task Completed,0,6661.070245349829,0,15823.200000047684,7500,8323.200000047684,skeleton-color,2500,true,2026-06-15T07:33:20.300Z,51,3,3
16,15,Task Completed,0,6503.539899626614,0,26181.10000014305,15000,11181.100000143051,spinner,5000,true,2026-06-15T07:33:56.595Z,74,4,3
17,5,Task Completed,0,4908.778656037919,0,14095.200000047684,7500,6595.200000047684,none,2500,true,2026-06-15T07:34:18.956Z,64,4,3
18,11,Task Completed,0,3936.2012320620947,0,9111.299999952316,2000,7111.299999952316,bar,1000,true,2026-06-15T07:34:48.699Z,36,2,3
19,9,Task Completed,0,8873.861032696912,0,25031.299999952316,20000,5031.299999952316,none,5000,true,2026-06-15T07:35:24.923Z,71,5,3
20,2,Task Completed,0,4328.631278079864,0,19822.5,10000,9822.5,bar,5000,true,2026-06-15T07:36:05.794Z,83,4,3
21,20,Task Completed,0,7934.917707538727,0,16242.600000143051,5000,11242.600000143051,bar-color,2500,true,2026-06-15T07:36:35.590Z,55,3,3
