executionOrder,originalTrialNumber,action,rageClicks,mouseDistance,optimalMouseDistance,taskDuration,totalLoadingTime,pureTaskDuration,loaderType,simulatedLoadingTime,taskSuccess,timestamp,perceivedTime,discomfort,reliability
1,16,Task Completed,0,6487.51977547275,0,17213.700000047684,5000,12213.700000047684,skeleton-color,2500,true,2026-06-09T07:45:45.864Z,48,2,4
2,13,Task Completed,0,10331.899112268746,0,32431.5,10000,22431.5,spinner-color,2500,true,2026-06-09T07:46:50.855Z,43,2,4
3,11,Task Completed,0,4159.442622579097,0,9825.600000023842,2000,7825.600000023842,bar,1000,true,2026-06-09T07:47:42.609Z,21,1,4
4,3,Task Completed,0,3754.4940483688797,0,11969,2000,9969,none,1000,true,2026-06-09T07:48:21.888Z,46,2,4
5,15,Task Completed,0,6030.861843984417,0,17055.5,10000,7055.5,spinner,5000,true,2026-06-09T07:48:46.543Z,67,2,4
6,21,Task Completed,0,5743.239012411428,0,13545.800000071526,5000,8545.800000071526,skeleton,2500,true,2026-06-09T07:49:11.310Z,37,2,4
7,7,Task Completed,0,5195.080730653738,0,15007.299999952316,3000,12007.299999952316,spinner,1000,true,2026-06-09T07:49:38.958Z,42,2,4
8,14,Task Completed,0,3528.0779553700295,0,10695.100000023842,2000,8695.100000023842,skeleton-color,1000,true,2026-06-09T07:49:57.798Z,35,2,4
9,10,Task Completed,0,4737.581460408351,0,16605.899999976158,7500,9105.899999976158,bar,2500,true,2026-06-09T07:50:33.748Z,61,2,4
10,19,Task Completed,0,5860.476777287777,0,12273.799999952316,2000,10273.799999952316,spinner-color,1000,true,2026-06-09T07:50:52.390Z,38,2,4
11,17,Task Completed,0,4803.716777136457,0,10607.100000023842,2000,8607.100000023842,skeleton,1000,true,2026-06-09T07:51:14.655Z,29,2,4
12,20,Task Completed,0,7209.022908718059,0,16118.100000023842,5000,11118.100000023842,bar-color,2500,true,2026-06-09T07:51:41.398Z,73,2,4
13,18,Task Completed,0,4754.912920434436,0,19695.5,10000,9695.5,spinner-color,5000,true,2026-06-09T07:52:11.902Z,84,2,4
14,4,Task Completed,0,7584.278504362457,0,26303,5000,21303,spinner,2500,true,2026-06-09T07:52:50.941Z,69,2,4
15,9,Task Completed,0,7927.39759263371,0,21967.200000047684,15000,6967.200000047684,none,5000,true,2026-06-09T07:53:53.789Z,74,4,4
16,12,Task Completed,0,8185.023783651374,0,31876,10000,21876,skeleton,5000,true,2026-06-09T07:54:54.373Z,72,2,4
17,5,Task Completed,0,7640.1672077221,0,18367.399999976158,7500,10867.399999976158,none,2500,true,2026-06-09T07:55:46.701Z,76,3,4
18,1,Task Completed,0,8154.570067163985,0,20502.800000071526,10000,10502.800000071526,bar-color,5000,true,2026-06-09T07:56:15.556Z,70,2,4
19,2,Task Completed,0,6809.380205947544,0,21640.199999928474,10000,11640.199999928474,bar,5000,true,2026-06-09T07:56:54.229Z,79,3,4
20,8,Task Completed,0,5508.550306403545,0,9535.100000023842,2000,7535.100000023842,bar-color,1000,true,2026-06-09T07:57:20.717Z,17,1,4
21,6,Task Completed,0,5163.418500598446,0,17639.100000023842,10000,7639.100000023842,skeleton-color,5000,true,2026-06-09T07:57:47.269Z,68,2,4
