executionOrder,originalTrialNumber,action,rageClicks,mouseDistance,optimalMouseDistance,taskDuration,totalLoadingTime,pureTaskDuration,loaderType,simulatedLoadingTime,taskSuccess,timestamp,perceivedTime,discomfort,reliability
1,2,Task Completed,0,3390.8353331858248,0,17368.100000023842,10000,7368.100000023842,bar,5000,true,2026-06-09T04:28:07.647Z,87,4,2
2,17,Task Completed,0,3397.9334458170883,0,14374.799999952316,2000,12374.799999952316,skeleton,1000,true,2026-06-09T04:28:33.758Z,36,2,3
3,8,Task Completed,0,6348.331772682557,0,16599.199999928474,2000,14599.199999928474,bar-color,1000,true,2026-06-09T04:29:04.414Z,43,2,4
4,12,Task Completed,0,5912.0590688102,0,27015.899999976158,10000,17015.899999976158,skeleton,5000,true,2026-06-09T04:29:45.766Z,60,2,4
5,6,Task Completed,0,5856.583410397549,0,35671.10000002384,15000,20671.100000023842,skeleton-color,5000,true,2026-06-09T04:30:41.358Z,68,3,3
6,19,Task Completed,0,7823.463688400328,0,22199.700000047684,4000,18199.700000047684,spinner-color,1000,true,2026-06-09T04:31:20.246Z,11,1,4
7,14,Task Completed,0,5527.64750400822,0,15407.600000023842,2000,13407.600000023842,skeleton-color,1000,true,2026-06-09T04:31:47.013Z,6,1,4
8,18,Task Completed,0,3022.990330692222,0,20760.899999976158,10000,10760.899999976158,spinner-color,5000,true,2026-06-09T04:32:15.911Z,57,2,4
9,15,Task Completed,0,3524.7283761938465,0,21841.700000047684,10000,11841.700000047684,spinner,5000,true,2026-06-09T04:32:53.374Z,46,3,3
10,5,Task Completed,0,5752.656166873639,0,16176.300000071526,5000,11176.300000071526,none,2500,true,2026-06-09T04:33:19.526Z,37,5,2
11,4,Task Completed,0,4542.829565851396,0,19888.200000047684,5000,14888.200000047684,spinner,2500,true,2026-06-09T04:33:56.374Z,53,2,3
12,3,Task Completed,0,7280.626161641744,0,16143.5,2000,14143.5,none,1000,true,2026-06-09T04:34:25.477Z,20,4,2
13,21,Task Completed,0,4268.371608501902,0,13800,5000,8800,skeleton,2500,true,2026-06-09T04:34:50.309Z,51,3,3
14,1,Task Completed,0,5976.127419357814,0,19286.899999976158,10000,9286.899999976158,bar-color,5000,true,2026-06-09T04:35:22.701Z,99,5,2
15,13,Task Completed,0,5753.120234535688,0,18815.600000023842,5000,13815.600000023842,spinner-color,2500,true,2026-06-09T04:35:52.844Z,61,4,3
16,9,Task Completed,0,10327.273539314141,0,21607.100000023842,10000,11607.100000023842,none,5000,true,2026-06-09T04:36:29.989Z,44,5,2
17,11,Task Completed,0,6399.736358108611,0,13391.700000047684,2000,11391.700000047684,bar,1000,true,2026-06-09T04:36:53.324Z,19,2,4
18,20,Task Completed,0,6493.802715557105,0,12847.5,5000,7847.5,bar-color,2500,true,2026-06-09T04:37:18.252Z,59,4,3
19,7,Task Completed,0,6065.8867514715075,0,10959.899999976158,2000,8959.899999976158,spinner,1000,true,2026-06-09T04:37:46.629Z,34,2,3
20,16,Task Completed,0,4021.5250220902717,0,16246.900000095367,5000,11246.900000095367,skeleton-color,2500,true,2026-06-09T04:38:11.292Z,46,4,2
21,10,Task Completed,0,10284.021161483533,0,26222.5,5000,21222.5,bar,2500,true,2026-06-09T04:38:45.268Z,61,4,3
