participant_id,executionOrder,originalTrialNumber,loaderType,simulatedLoadingTime,simulatedLoadingTime_sec,rageClicks,mouseDistance,taskDuration,taskDuration_sec,totalLoadingTime,pureTaskDuration,perceivedLoadingTime,discomfort,reliability
participant_11,16.0,10.0,bar,2500,2.5,0,5811.968626515018,14297.0,14.297,5000.0,9297.0,57.0,2.0,3.0
participant_11,17.0,18.0,spinner-color,5000,5.0,0,5321.287675042457,20727.60000014305,20.727600000143052,10000.0,10727.600000143051,66.0,4.0,2.0
participant_11,18.0,9.0,none,5000,5.0,0,7750.900920293692,43351.09999990463,43.35109999990463,20000.0,23351.099999904636,95.0,5.0,1.0
participant_11,19.0,20.0,bar-color,2500,2.5,0,3954.340183409775,17006.0,17.006,5000.0,12006.0,74.0,4.0,3.0
participant_11,20.0,3.0,none,1000,1.0,0,5547.582322266887,14046.900000095367,14.046900000095368,2000.0,12046.900000095367,29.0,2.0,4.0
participant_11,21.0,8.0,bar-color,1000,1.0,0,4563.045961813973,12328.200000047684,12.328200000047683,2000.0,10328.200000047684,4.0,1.0,4.0
participant_12,1.0,6.0,skeleton-color,5000,5.0,0,4172.509504916193,19943.29999995232,19.94329999995232,10000.0,9943.299999952316,79.0,4.0,2.0
participant_12,2.0,12.0,skeleton,5000,5.0,0,3442.8321470992382,17407.400000095367,17.407400000095368,10000.0,7407.400000095367,65.0,4.0,2.0
participant_12,3.0,5.0,none,2500,2.5,0,4498.416283067084,18023.29999995232,18.02329999995232,5000.0,13023.299999952316,74.0,5.0,1.0
participant_12,4.0,19.0,spinner-color,1000,1.0,0,5676.6864487612165,14736.700000047684,14.736700000047684,2000.0,12736.700000047684,37.0,2.0,4.0
participant_12,5.0,3.0,none,1000,1.0,0,6198.855567235152,15263.700000047684,15.263700000047685,2000.0,13263.700000047684,41.0,2.0,4.0
participant_12,6.0,10.0,bar,2500,2.5,0,3735.066247706019,15471.099999904633,15.471099999904633,5000.0,10471.099999904633,31.0,2.0,4.0
participant_12,7.0,16.0,skeleton-color,2500,2.5,0,4257.956160895238,14642.0,14.642,5000.0,9642.0,78.0,4.0,3.0
participant_12,8.0,18.0,spinner-color,5000,5.0,0,3733.379241122345,17375.39999985695,17.37539999985695,10000.0,7375.399999856949,82.0,4.0,3.0
participant_12,9.0,4.0,spinner,2500,2.5,0,5048.957721649255,15167.299999952316,15.167299999952316,5000.0,10167.299999952316,63.0,4.0,4.0
participant_12,10.0,13.0,spinner-color,2500,2.5,0,4988.680830938333,15158.900000095367,15.158900000095368,5000.0,10158.900000095367,58.0,3.0,4.0
participant_12,11.0,2.0,bar,5000,5.0,0,3738.110673003234,20688.79999995232,20.68879999995232,10000.0,10688.799999952316,74.0,4.0,4.0
participant_12,12.0,21.0,skeleton,2500,2.5,0,3478.528804773968,12687.200000047684,12.687200000047683,5000.0,7687.200000047684,57.0,2.0,4.0
participant_12,13.0,14.0,skeleton-color,1000,1.0,0,3925.293412218117,11183.899999856949,11.18389999985695,2000.0,9183.899999856949,55.0,2.0,4.0
participant_12,14.0,15.0,spinner,5000,5.0,0,4572.321718239907,22717.39999985695,22.717399999856948,10000.0,12717.399999856949,59.0,2.0,4.0
participant_12,15.0,1.0,bar-color,5000,5.0,0,5601.249579139112,19207.39999985695,19.20739999985695,10000.0,9207.399999856949,67.0,4.0,3.0
participant_12,16.0,11.0,bar,1000,1.0,0,6487.0970881297535,11656.100000143051,11.65610000014305,3000.0,8656.100000143051,36.0,1.0,5.0
participant_12,17.0,17.0,skeleton,1000,1.0,0,3630.331695973994,11954.099999904633,11.954099999904633,2000.0,9954.099999904633,42.0,2.0,5.0
participant_12,18.0,9.0,none,5000,5.0,0,4162.188551395308,18747.5,18.7475,10000.0,8747.5,68.0,5.0,2.0
participant_12,19.0,8.0,bar-color,1000,1.0,0,4625.185912801079,10487.299999952316,10.487299999952317,2000.0,8487.299999952316,38.0,2.0,5.0
participant_12,20.0,7.0,spinner,1000,1.0,0,10315.379472692955,30502.700000047684,30.502700000047685,6000.0,24502.700000047684,36.0,2.0,4.0
participant_12,21.0,20.0,bar-color,2500,2.5,0,3561.097318396606,10860.299999952316,10.860299999952316,5000.0,5860.299999952316,58.0,3.0,4.0
participant_13,1.0,18.0,spinner-color,5000,5.0,0,7059.841933163838,26849.099999904636,26.849099999904634,15000.0,11849.099999904633,66.0,4.0,3.0
participant_13,2.0,17.0,skeleton,1000,1.0,0,3981.897121602912,9471.399999856949,9.47139999985695,2000.0,7471.399999856949,29.0,2.0,3.0
participant_13,3.0,4.0,spinner,2500,2.5,0,6253.713756210418,16287.200000047684,16.287200000047683,5000.0,11287.200000047684,50.0,2.0,3.0
participant_13,4.0,10.0,bar,2500,2.5,0,4109.594374576529,13415.599999904633,13.415599999904632,5000.0,8415.599999904633,48.0,2.0,3.0
participant_13,5.0,12.0,skeleton,5000,5.0,0,7256.620967506022,20813.0,20.813,10000.0,10813.0,59.0,3.0,3.0
participant_13,6.0,3.0,none,1000,1.0,0,4298.962045697605,10559.399999856949,10.559399999856948,2000.0,8559.399999856949,16.0,1.0,3.0
participant_13,7.0,13.0,spinner-color,2500,2.5,0,5362.247437081259,15679.100000143051,15.679100000143052,5000.0,10679.100000143051,46.0,2.0,3.0
participant_13,8.0,1.0,bar-color,5000,5.0,0,8912.349598038692,20015.5,20.0155,10000.0,10015.5,67.0,4.0,3.0
participant_13,9.0,14.0,skeleton-color,1000,1.0,0,4008.186397635626,9289.100000143051,9.289100000143051,2000.0,7289.100000143051,9.0,1.0,3.0
participant_13,10.0,7.0,spinner,1000,1.0,0,5969.785567186462,12279.200000047684,12.279200000047684,2000.0,10279.200000047684,20.0,2.0,3.0
participant_13,11.0,6.0,skeleton-color,5000,5.0,0,4324.436850331789,19695.400000095367,19.69540000009537,10000.0,9695.400000095367,71.0,4.0,3.0
participant_13,12.0,19.0,spinner-color,1000,1.0,0,4108.245675954067,11199.5,11.1995,2000.0,9199.5,23.0,2.0,3.0
participant_13,13.0,8.0,bar-color,1000,1.0,0,4708.118703970206,13077.699999809263,13.077699999809264,3000.0,10077.699999809263,33.0,2.0,3.0
participant_13,14.0,21.0,skeleton,2500,2.5,0,6469.013795688844,20143.29999995232,20.14329999995232,10000.0,10143.299999952316,50.0,3.0,3.0
participant_13,15.0,16.0,skeleton-color,2500,2.5,0,6661.070245349829,15823.200000047684,15.823200000047684,7500.0,8323.200000047684,51.0,3.0,3.0
participant_13,16.0,15.0,spinner,5000,5.0,0,6503.539899626614,26181.10000014305,26.18110000014305,15000.0,11181.100000143051,74.0,4.0,3.0
participant_13,17.0,5.0,none,2500,2.5,0,4908.778656037919,14095.200000047684,14.095200000047683,7500.0,6595.200000047684,64.0,4.0,3.0
participant_13,18.0,11.0,bar,1000,1.0,0,3936.201232062095,9111.299999952316,9.111299999952315,2000.0,7111.299999952316,36.0,2.0,3.0
participant_13,19.0,9.0,none,5000,5.0,0,8873.861032696912,25031.29999995232,25.03129999995232,20000.0,5031.299999952316,71.0,5.0,3.0
participant_13,20.0,2.0,bar,5000,5.0,0,4328.631278079864,19822.5,19.8225,10000.0,9822.5,83.0,4.0,3.0
participant_13,21.0,20.0,bar-color,2500,2.5,0,7934.917707538727,16242.600000143051,16.24260000014305,5000.0,11242.600000143051,55.0,3.0,3.0
participant_14,1.0,2.0,bar,5000,5.0,0,6848.475037875387,22046.400000095367,22.046400000095367,10000.0,12046.400000095367,56.0,2.0,4.0
participant_14,2.0,19.0,spinner-color,1000,1.0,0,5062.331452816853,14229.599999904633,14.229599999904632,2000.0,12229.599999904633,16.0,1.0,4.0
participant_14,3.0,4.0,spinner,2500,2.5,0,6967.075843589873,17751.799999952316,17.751799999952315,5000.0,12751.799999952316,38.0,3.0,4.0
participant_14,4.0,14.0,skeleton-color,1000,1.0,0,6516.651835229366,15335.099999904633,15.335099999904633,3000.0,12335.099999904633,16.0,2.0,4.0
participant_14,5.0,13.0,spinner-color,2500,2.5,0,4575.096532375154,17839.200000047684,17.839200000047683,5000.0,12839.200000047684,38.0,3.0,4.0
participant_14,6.0,7.0,spinner,1000,1.0,0,4363.646069237007,12679.300000190737,12.679300000190736,2000.0,10679.300000190737,13.0,2.0,4.0
participant_14,7.0,20.0,bar-color,2500,2.5,0,5987.189819732702,18687.5,18.6875,5000.0,13687.5,12.0,1.0,5.0
participant_14,8.0,16.0,skeleton-color,2500,2.5,0,6266.223604640352,20343.199999809265,20.343199999809265,5000.0,15343.199999809263,33.0,3.0,3.0
participant_14,9.0,1.0,bar-color,5000,5.0,0,6578.604267530633,27894.29999995232,27.89429999995232,10000.0,17894.299999952316,52.0,3.0,4.0
participant_14,10.0,3.0,none,1000,1.0,0,4853.133025565548,16127.200000047684,16.127200000047683,2000.0,14127.200000047684,3.0,1.0,4.0
participant_14,11.0,11.0,bar,1000,1.0,0,7282.960101800923,17263.39999985695,17.263399999856947,2000.0,15263.399999856949,3.0,1.0,5.0
participant_14,12.0,5.0,none,2500,2.5,0,6152.528114176716,21023.29999995232,21.02329999995232,5000.0,16023.299999952316,55.0,4.0,2.0
participant_14,13.0,21.0,skeleton,2500,2.5,0,4570.580450840529,16911.299999952316,16.911299999952316,5000.0,11911.299999952316,50.0,4.0,3.0
participant_14,14.0,9.0,none,5000,5.0,0,9387.024723928682,31871.60000014305,31.87160000014305,20000.0,11871.600000143051,75.0,5.0,1.0
participant_14,15.0,6.0,skeleton-color,5000,5.0,0,5856.097666027038,26031.400000095367,26.031400000095367,10000.0,16031.400000095367,77.0,4.0,2.0
participant_14,16.0,8.0,bar-color,1000,1.0,0,3850.1436676181024,10046.600000143051,10.046600000143052,2000.0,8046.600000143051,31.0,2.0,4.0
participant_14,17.0,10.0,bar,2500,2.5,0,6365.223352909712,19791.79999995232,19.79179999995232,5000.0,14791.799999952316,53.0,2.0,3.0
participant_14,18.0,12.0,skeleton,5000,5.0,0,3570.006998395538,20088.39999985695,20.08839999985695,10000.0,10088.399999856949,56.0,4.0,3.0
participant_14,19.0,15.0,spinner,5000,5.0,0,7674.387591819853,28679.099999904636,28.679099999904636,15000.0,13679.099999904633,71.0,4.0,2.0
participant_14,20.0,17.0,skeleton,1000,1.0,0,8315.411761982297,18033.29999995232,18.03329999995232,2000.0,16033.299999952316,20.0,2.0,4.0
participant_14,21.0,18.0,spinner-color,5000,5.0,0,4860.070618805018,20695.79999995232,20.69579999995232,10000.0,10695.799999952316,77.0,4.0,2.0
participant_15,1.0,7.0,spinner,1000,1.0,0,4953.661044278346,14342.299999952316,14.342299999952317,2000.0,12342.299999952316,15.0,2.0,3.0
participant_15,2.0,6.0,skeleton-color,5000,5.0,0,6786.6298692948685,20462.700000047684,20.462700000047683,10000.0,10462.700000047684,100.0,3.0,2.0
participant_15,3.0,21.0,skeleton,2500,2.5,0,7203.371063823166,17951.5,17.9515,5000.0,12951.5,56.0,3.0,3.0
participant_15,4.0,3.0,none,1000,1.0,0,5649.784078124878,12807.599999904633,12.807599999904632,2000.0,10807.599999904633,6.0,2.0,4.0
participant_15,5.0,20.0,bar-color,2500,2.5,0,4116.825494054608,15608.899999856949,15.608899999856948,5000.0,10608.899999856949,61.0,3.0,4.0
participant_15,6.0,11.0,bar,1000,1.0,0,6639.157948314091,11615.700000047684,11.615700000047683,2000.0,9615.700000047684,0.0,1.0,5.0
participant_15,7.0,13.0,spinner-color,2500,2.5,0,10904.697801701945,22542.700000047684,22.542700000047684,7500.0,15042.700000047684,71.0,4.0,3.0
participant_15,8.0,1.0,bar-color,5000,5.0,0,5435.068030943559,21272.200000047684,21.272200000047683,10000.0,11272.200000047684,77.0,4.0,4.0
participant_15,9.0,2.0,bar,5000,5.0,0,7572.462741224443,20391.89999985695,20.39189999985695,10000.0,10391.899999856949,86.0,5.0,3.0
participant_15,10.0,17.0,skeleton,1000,1.0,0,5899.371380354265,11614.799999952316,11.614799999952316,2000.0,9614.799999952316,4.0,2.0,4.0
participant_15,11.0,16.0,skeleton-color,2500,2.5,0,7434.090150472517,16832.89999985695,16.83289999985695,5000.0,11832.899999856949,46.0,3.0,3.0
participant_15,12.0,18.0,spinner-color,5000,5.0,0,4722.480430569697,19070.60000014305,19.070600000143052,10000.0,9070.600000143051,100.0,5.0,1.0
participant_15,13.0,15.0,spinner,5000,5.0,0,5884.994537083698,16830.799999952316,16.830799999952315,10000.0,6830.799999952316,100.0,5.0,1.0
participant_15,14.0,5.0,none,2500,2.5,0,5387.433076337362,15351.5,15.3515,5000.0,10351.5,34.0,2.0,2.0
participant_15,15.0,14.0,skeleton-color,1000,1.0,0,5178.419885027486,10784.300000190737,10.784300000190736,2000.0,8784.300000190735,19.0,2.0,3.0
participant_15,16.0,12.0,skeleton,5000,5.0,0,5812.673909991502,17558.199999809265,17.558199999809265,10000.0,7558.199999809265,89.0,5.0,1.0
participant_15,17.0,9.0,none,5000,5.0,0,14525.048277089783,32430.900000095367,32.43090000009537,15000.0,17430.900000095367,100.0,3.0,1.0
