trial,rageClicks,mouseDistance,taskDuration,loaderType,simulatedLoadingTime
1,0,9490.239215739313,29112.5,bar-color,5000
2,0,4327.2855032276,16096.100000143051,bar,5000
3,0,3807.901045357573,9776.200000047684,none,1500
4,0,4946.916379563749,16983.700000047684,spinner,3000
