Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
simulatedLoadingTime,1000,2500,True,True,5.417476018036571,9.0,two-sided,0.0004232305037592926,0.0012696915112778778,holm,83.991,2.2346350705154063
simulatedLoadingTime,1000,5000,True,True,4.954475235725888,9.0,two-sided,0.0007864583592031182,0.0015729167184062364,holm,49.936,2.9097854783353365
simulatedLoadingTime,2500,5000,True,True,2.9912616141569814,9.0,two-sided,0.015169839585469665,0.015169839585469665,holm,4.448,1.5152763371101279
