Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
simulatedLoadingTime,1000,2500,True,True,-13.028847205982235,9.0,two-sided,3.8097743953638906e-07,1.022171171850789e-06,holm,3.585e+04,-5.239982353668474
simulatedLoadingTime,1000,5000,True,True,-13.199269237381861,9.0,two-sided,3.4072372395026297e-07,1.022171171850789e-06,holm,3.954e+04,-7.01002769681998
simulatedLoadingTime,2500,5000,True,True,-4.14204396907464,9.0,two-sided,0.0025139753078917597,0.0025139753078917597,holm,19.039,-2.3903851495681168
