Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
loaderType,3.3785740903597192,6,54,0.5630956817266198,1.4301971317722837,0.22023175413923768,0.2617174029930264,0.059719237188128924,0.4046468391644766
simulatedLoadingTime,140.90667882808108,2,18,70.45333941404054,498.956848562976,1.7208428195215284e-16,9.025751029421394e-16,0.7259398893682526,0.9505212905307369
loaderType * simulatedLoadingTime,2.5190203154590733,12,108,0.20991835962158945,0.7713049187065967,0.678465095812673,0.5248826040223443,0.0452128107610391,0.2612950114510711
