Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges,simulatedLoadingTime_sec
loaderType,bar,none,True,True,2.007920267846731,9.0,two-sided,0.07558121404345053,1.0,holm,1.294,1.0309957023168008,5.0
loaderType,bar,skeleton,True,True,0.3445051616444658,9.0,two-sided,0.7383796330842092,1.0,holm,0.325,0.16470733109574356,5.0
loaderType,bar,skeleton-color,True,True,1.3238555493565813,9.0,two-sided,0.21818838836371784,1.0,holm,0.616,0.5774131802852164,5.0
loaderType,bar,spinner,True,True,0.4064953780897942,9.0,two-sided,0.693874935518511,1.0,holm,0.331,0.19372606267317438,5.0
loaderType,bar,spinner-color,True,True,0.5484569470372153,9.0,two-sided,0.5967183806614846,1.0,holm,0.351,0.255881869048104,5.0
loaderType,bar-color,none,True,True,2.511258911200279,9.0,two-sided,0.033242018978060034,0.6648403795612007,holm,2.408,1.280392170975696,5.0
loaderType,bar-color,skeleton,True,True,0.8018211073757031,9.0,two-sided,0.4433113037450144,1.0,holm,0.404,0.3968254850509322,5.0
loaderType,bar-color,skeleton-color,True,True,1.9569990726036424,9.0,two-sided,0.08203910617273619,1.0,holm,1.219,0.8652324325328316,5.0
loaderType,bar-color,spinner,True,True,0.8785490742076093,9.0,two-sided,0.40249144238456447,1.0,holm,0.425,0.4518206634168431,5.0
loaderType,bar-color,spinner-color,True,True,0.980583342717238,9.0,two-sided,0.3524207923448316,1.0,holm,0.458,0.4928438717492569,5.0
loaderType,none,skeleton,True,True,-2.2482001733236863,9.0,two-sided,0.05115345615648885,0.969777719179644,holm,1.733,-0.9466940530641526,5.0
loaderType,none,skeleton-color,True,True,-2.1483161992140962,9.0,two-sided,0.06020134964826577,1.0,holm,1.533,-0.6735751642998121,5.0
loaderType,none,spinner,True,True,-3.291806579909895,9.0,two-sided,0.009351347855629188,0.19637830496821296,holm,6.541,-1.0266292109240176,5.0
loaderType,none,spinner-color,True,True,-2.249548082011792,9.0,two-sided,0.05104093258840231,0.969777719179644,holm,1.735,-0.8584947088623494,5.0
loaderType,skeleton,skeleton-color,True,True,1.5427259135306592,9.0,two-sided,0.15729071126068764,1.0,holm,0.767,0.4395274338084687,5.0
loaderType,skeleton,spinner,True,True,0.039120420593705144,9.0,two-sided,0.9696484240272467,1.0,holm,0.309,0.015105130200012418,5.0
loaderType,skeleton,spinner-color,True,True,0.5185080413071533,9.0,two-sided,0.6166098297476654,1.0,holm,0.346,0.09890543244927294,5.0
loaderType,skeleton-color,spinner,True,True,-1.2697102968861997,9.0,two-sided,0.23603381684673486,1.0,holm,0.585,-0.4942042719013185,5.0
loaderType,skeleton-color,spinner-color,True,True,-1.1770540368320672,9.0,two-sided,0.26936392971667,1.0,holm,0.538,-0.3276046288542737,5.0
loaderType,spinner,spinner-color,True,True,0.35951148104444297,9.0,two-sided,0.7275033911721962,1.0,holm,0.326,0.09525156672822105,5.0
