Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
simulatedLoadingTime,1000,2500,True,True,-20.4644830398424,9.0,two-sided,7.414499859362748e-09,1.4828999718725496e-08,holm,1.154e+06,-10.103540315302856
simulatedLoadingTime,1000,5000,True,True,-28.845146603656758,9.0,two-sided,3.52452130947899e-10,1.057356392843697e-09,holm,1.713e+07,-15.77185633672095
simulatedLoadingTime,2500,5000,True,True,-13.105881798993247,9.0,two-sided,3.621650441547037e-07,3.621650441547037e-07,holm,3.748e+04,-6.9020357446761205
