Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
loaderType,31.167572380780125,6,54,5.194595396796688,9.471864453539009,4.2320947582278413e-07,0.0001305455163390404,0.2612269959879488,0.5309201163886436
simulatedLoadingTime,37.12282292343299,2,18,18.561411461716496,20.720916613549303,2.1410301931524114e-05,0.00036816996503977016,0.2963484714388011,0.6572470672803604
loaderType * simulatedLoadingTime,3.5649583998399663,12,108,0.2970798666533305,0.7566111785055798,0.6931174982163708,0.5323242722781178,0.038872247076837826,0.2594171379680764
