Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges,simulatedLoadingTime_sec
loaderType,skeleton,spinner-color,True,True,-0.35866798573344855,9.0,two-sided,0.7281130585328219,1.0,holm,0.326,-0.10117373696448685,2.5
loaderType,skeleton-color,spinner,True,True,2.102949550086343,9.0,two-sided,0.06480730957691061,0.9298179160349366,holm,1.451,0.8558180719427595,2.5
loaderType,skeleton-color,spinner-color,True,True,1.1901554124878646,9.0,two-sided,0.26443135956424996,1.0,holm,0.545,0.3911003148636734,2.5
loaderType,spinner,spinner-color,True,True,-0.9474191272885908,9.0,two-sided,0.36816760738466203,1.0,holm,0.447,-0.38205200772289166,2.5
loaderType,bar,bar-color,True,True,1.0109947641945323,9.0,two-sided,0.3384255969683868,1.0,holm,0.469,0.4161571574147824,5.0
loaderType,bar,none,True,True,-0.7174382075005448,9.0,two-sided,0.49130394226377916,1.0,holm,0.383,-0.35189427450522454,5.0
loaderType,bar,skeleton,True,True,2.158670591016079,9.0,two-sided,0.05919543040262422,1.0,holm,1.552,0.8512624592456902,5.0
loaderType,bar,skeleton-color,True,True,1.3229688291952115,9.0,two-sided,0.21847124790559586,1.0,holm,0.615,0.5878240007537807,5.0
loaderType,bar,spinner,True,True,1.723971021206617,9.0,two-sided,0.11880352065536716,1.0,holm,0.933,0.735233967287411,5.0
loaderType,bar,spinner-color,True,True,1.444344303210096,9.0,two-sided,0.18253824520350714,1.0,holm,0.693,0.6218713042648567,5.0
loaderType,bar-color,none,True,True,-1.2592974745303498,9.0,two-sided,0.23960132496311226,1.0,holm,0.58,-0.6531674189625076,5.0
loaderType,bar-color,skeleton,True,True,0.9556857645198072,9.0,two-sided,0.36419504395925195,1.0,holm,0.449,0.39425522036678157,5.0
loaderType,bar-color,skeleton-color,True,True,0.15707934471895882,9.0,two-sided,0.8786497369938658,1.0,holm,0.312,0.0760385713522839,5.0
loaderType,bar-color,spinner,True,True,0.6331512665910869,9.0,two-sided,0.5423866312185945,1.0,holm,0.366,0.2513754328213681,5.0
loaderType,bar-color,spinner-color,True,True,0.340095806475458,9.0,two-sided,0.7415872900880869,1.0,holm,0.325,0.1403613408597894,5.0
