Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
loaderType,16.310788030868192,6,54,2.718464671811365,4.526273261545678,0.0008744864073546166,0.008805481971148794,0.1633960777318041,0.5383818811863813
simulatedLoadingTime,90.65899219301373,2,18,45.329496096506865,93.36555779996431,3.1390473689642154e-10,8.997996918420461e-08,0.5205146839608111,0.7052169470337328
loaderType * simulatedLoadingTime,9.517387050772754,12,108,0.7931155875643962,2.022990661648399,0.028725945691845653,0.12277051925766176,0.10230425247626522,0.29094280997726296
